ImgId,Prediction
1,5
2,1
3,4
4,7
5,1
6,3
7,1
8,8
9,7
10,8
11,1
12,2
13,1
14,1
15,5
16,8
17,8
18,4
19,8
20,5
21,4
22,5
23,6
24,3
25,1
26,8
27,7
28,8
29,8
30,5
31,5
32,1
33,4
34,5
35,8
36,1
37,4
38,3
39,3
40,4
41,2
42,1
43,4
44,7
45,1
46,7
47,4
48,5
49,1
50,1
51,6
52,5
53,3
54,6
55,7
56,4
57,8
58,4
59,7
60,7
61,5
62,4
63,8
64,3
65,7
66,8
67,8
68,5
69,1
70,4
71,7
72,2
73,3
74,3
75,5
76,7
77,2
78,1
79,4
80,4
81,3
82,8
83,1
84,7
85,5
86,1
87,3
88,3
89,7
90,4
91,5
92,7
93,1
94,6
95,2
96,8
97,2
98,7
99,5
100,1
101,2
102,3
103,5
104,7
105,8
106,8
107,8
108,4
109,6
110,4
111,3
112,8
113,1
114,5
115,7
116,2
117,2
118,4
119,3
120,4
121,1
122,8
123,4
124,6
125,4
126,5
127,3
128,1
129,5
130,2
131,1
132,7
133,6
134,3
135,1
136,5
137,4
138,5
139,4
140,2
141,4
142,4
143,4
144,6
145,1
146,3
147,5
148,4
149,7
150,5
151,1
152,8
153,7
154,2
155,5
156,6
157,6
158,8
159,5
160,4
161,7
162,8
163,5
164,4
165,3
166,4
167,7
168,4
169,4
170,1
171,4
172,7
173,5
174,4
175,5
176,4
177,3
178,4
179,3
180,5
181,6
182,7
183,5
184,3
185,3
186,1
187,7
188,1
189,3
190,5
191,7
192,8
193,4
194,8
195,5
196,7
197,5
198,3
199,3
200,5
201,2
202,5
203,1
204,6
205,4
206,2
207,1
208,5
209,4
210,7
211,8
212,5
213,4
214,4
215,5
216,2
217,4
218,2
219,2
220,3
221,4
222,1
223,3
224,5
225,3
226,4
227,5
228,2
229,8
230,4
231,8
232,8
233,3
234,6
235,4
236,6
237,5
238,7
239,7
240,4
241,7
242,8
243,4
244,2
245,1
246,7
247,7
248,8
249,8
250,8
251,2
252,1
253,1
254,8
255,5
256,2
257,3
258,6
259,2
260,2
261,2
262,8
263,7
264,2
265,2
266,3
267,1
268,7
269,4
270,2
271,8
272,7
273,6
274,4
275,6
276,7
277,4
278,4
279,4
280,4
281,2
282,2
283,1
284,1
285,7
286,8
287,2
288,4
289,7
290,1
291,4
292,7
293,4
294,7
295,7
296,3
297,4
298,7
299,7
300,8
301,2
302,5
303,3
304,2
305,1
306,4
307,1
308,8
309,8
310,6
311,6
312,1
313,6
314,1
315,7
316,3
317,3
318,4
319,6
320,8
321,1
322,2
323,2
324,7
325,7
326,4
327,8
328,1
329,1
330,2
331,5
332,3
333,3
334,1
335,3
336,5
337,4
338,4
339,7
340,8
341,8
342,8
343,5
344,5
345,5
346,1
347,5
348,2
349,2
350,5
351,2
352,3
353,4
354,7
355,3
356,5
357,1
358,2
359,2
360,7
361,3
362,7
363,4
364,5
365,5
366,7
367,7
368,7
369,7
370,2
371,4
372,4
373,4
374,1
375,8
376,2
377,2
378,5
379,3
380,7
381,6
382,3
383,4
384,1
385,1
386,5
387,1
388,1
389,3
390,2
391,6
392,2
393,1
394,2
395,3
396,6
397,2
398,5
399,5
400,6
401,5
402,2
403,3
404,2
405,3
406,4
407,3
408,8
409,2
410,5
411,8
412,7
413,5
414,5
415,5
416,8
417,8
418,4
419,1
420,2
421,2
422,5
423,7
424,7
425,7
426,2
427,4
428,5
429,7
430,4
431,5
432,1
433,6
434,1
435,2
436,4
437,2
438,1
439,2
440,5
441,6
442,5
443,2
444,3
445,7
446,7
447,7
448,7
449,6
450,8
451,3
452,5
453,5
454,6
455,6
456,3
457,5
458,4
459,3
460,3
461,6
462,6
463,7
464,1
465,3
466,6
467,2
468,7
469,7
